Num of Trials, Bloocksize, Performance(Megatrials/second), Probability
1024 ,        8 ,     9.8099 ,  27.93
1024 ,       32 ,    11.8125 ,  25.98
1024 ,       64 ,     9.6970 ,  25.39
1024 ,      128 ,    11.8606 ,  26.07
4096 ,        8 ,    37.9372 ,  27.17
4096 ,       32 ,    48.0120 ,  27.56
4096 ,       64 ,    37.8027 ,  26.56
4096 ,      128 ,    38.5542 ,  26.32
16384 ,        8 ,   144.9604 ,  26.80
16384 ,       32 ,   180.6634 ,  27.22
16384 ,       64 ,   155.1515 ,  26.88
16384 ,      128 ,   150.8544 ,  27.07
65536 ,        8 ,   345.4791 ,  26.76
65536 ,       32 ,   571.7476 ,  26.66
65536 ,       64 ,   603.0624 ,  26.91
65536 ,      128 ,   630.7361 ,  26.74
262144 ,        8 ,   583.6005 ,  26.85
262144 ,       32 ,  1060.8650 ,  26.91
262144 ,       64 ,  1718.1208 ,  26.83
262144 ,      128 ,  1849.6275 ,  26.87
1048576 ,        8 ,   698.1273 ,  26.86
1048576 ,       32 ,  2046.3373 ,  26.83
1048576 ,       64 ,  3041.1137 ,  26.90
1048576 ,      128 ,  3323.3267 ,  26.82
2097152 ,        8 ,   722.6774 ,  26.85
2097152 ,       32 ,  2281.5764 ,  26.88
2097152 ,       64 ,  3594.7560 ,  26.85
2097152 ,      128 ,  4365.2834 ,  26.86
